iter	Passed	Remaining
861	1207	193
862	1209	191
863	1209	190
864	1210	188
865	1211	187
866	1211	185
867	1212	184
868	1212	182
869	1213	181
870	1215	179
871	1215	178
872	1216	177
873	1217	175
874	1218	174
875	1218	172
876	1220	171
877	1221	169
878	1222	168
879	1223	166
880	1223	165
881	1224	163
882	1225	162
883	1225	160
884	1227	159
885	1228	158
886	1230	156
887	1230	155
888	1231	153
889	1232	152
890	1233	150
891	1233	149
892	1234	147
893	1235	146
894	1236	145
895	1237	143
896	1238	142
897	1238	140
898	1239	139
899	1241	137
900	1242	136
901	1243	135
902	1244	133
903	1244	132
904	1245	130
905	1246	129
906	1247	127
907	1248	126
908	1249	125
909	1250	123
910	1250	122
911	1251	120
912	1252	119
913	1252	117
914	1255	116
915	1257	115
916	1258	113
917	1258	112
918	1259	111
919	1260	109
920	1260	108
921	1262	106
922	1263	105
923	1263	103
924	1264	102
925	1264	101
926	1268	99
927	1269	98
928	1269	97
929	1270	95
930	1271	94
931	1271	92
932	1272	91
933	1273	89
934	1273	88
935	1274	87
936	1274	85
937	1275	84
938	1275	82
939	1279	81
940	1280	80
941	1280	78
942	1282	77
943	1283	76
944	1283	74
945	1284	73
946	1284	71
947	1285	70
948	1286	69
949	1288	67
950	1289	66
951	1290	65
952	1291	63
953	1291	62
954	1292	60
955	1293	59
956	1293	58
957	1294	56
958	1295	55
959	1295	53
960	1296	52
961	1296	51
962	1301	50
963	1302	48
964	1302	47
965	1303	45
966	1303	44
967	1304	43
968	1305	41
969	1308	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1312	33
975	1313	32
976	1314	30
977	1314	29
978	1315	28
979	1318	26
980	1319	25
981	1319	24
982	1320	22
983	1321	21
984	1325	20
985	1326	18
986	1326	17
987	1327	16
988	1327	14
989	1328	13
990	1329	12
991	1330	10
992	1332	9
993	1333	8
994	1333	6
995	1334	5
996	1334	4
997	1336	2
998	1338	1
999	1339	0
